filename,media_type,timestamp,source_url,geotag,resolution_wxh,resolution_score,timestamp_score,vantage_score,total_score,tweet_text
1805797291581915144_1805794647295307777.mp4,video,Wed Jun 26 02:56:39 +0000 2024,https://twitter.com/STARLIGHT_ASIAN/status/1805797291581915144,No Geo-tag,16x1152,1,1,0,2,"✨STARLIGHTAWARDS  🏆2024 The Most Shining Star in Thailand  🥇No.1 Faye Peraya  🎉Faye Peraya New York,"
1805797291581915144_1805797231724818432.jpg,photo,Wed Jun 26 02:56:39 +0000 2024,https://twitter.com/STARLIGHT_ASIAN/status/1805797291581915144,No Geo-tag,2048x1536,3,1,0,4,"✨STARLIGHTAWARDS  🏆2024 The Most Shining Star in Thailand  🥇No.1 Faye Peraya  🎉Faye Peraya New York,"
1805797291581915144_1805797231867445248.jpg,photo,Wed Jun 26 02:56:39 +0000 2024,https://twitter.com/STARLIGHT_ASIAN/status/1805797291581915144,No Geo-tag,2048x1536,3,1,0,4,"✨STARLIGHTAWARDS  🏆2024 The Most Shining Star in Thailand  🥇No.1 Faye Peraya  🎉Faye Peraya New York,"
1805797291581915144_1805797231880011776.jpg,photo,Wed Jun 26 02:56:39 +0000 2024,https://twitter.com/STARLIGHT_ASIAN/status/1805797291581915144,No Geo-tag,2048x1536,3,1,0,4,"✨STARLIGHTAWARDS  🏆2024 The Most Shining Star in Thailand  🥇No.1 Faye Peraya  🎉Faye Peraya New York,"
1805725309360087343_1805725184264986624.mp4,video,Tue Jun 25 22:10:37 +0000 2024,https://twitter.com/nypostsports/status/1805725309360087343,No Geo-tag,9x1280,1,1,0,2,Yankees fans chanting 'Mets fans suck!' outside Citi Field 😳 https://t.co/huHGUBRzSz
1806130745267659242_1806130732189847552.jpg,photo,Thu Jun 27 01:01:40 +0000 2024,https://twitter.com/EmpireStateBldg/status/1806130745267659242,No Geo-tag,1080x1350,2,3,0,5,Shining purple in celebration of Grimace's birthday @mcdonalds @mets  Text CONNECT to 274-16 to get 
1806130745267659242_1806130736585461760.jpg,photo,Thu Jun 27 01:01:40 +0000 2024,https://twitter.com/EmpireStateBldg/status/1806130745267659242,No Geo-tag,800x640,1,3,0,4,Shining purple in celebration of Grimace's birthday @mcdonalds @mets  Text CONNECT to 274-16 to get 
1806130745267659242_1806130739160776704.jpg,photo,Thu Jun 27 01:01:40 +0000 2024,https://twitter.com/EmpireStateBldg/status/1806130745267659242,No Geo-tag,800x533,1,3,0,4,Shining purple in celebration of Grimace's birthday @mcdonalds @mets  Text CONNECT to 274-16 to get 
1806130745267659242_1806130742247723008.jpg,photo,Thu Jun 27 01:01:40 +0000 2024,https://twitter.com/EmpireStateBldg/status/1806130745267659242,No Geo-tag,800x533,1,3,0,4,Shining purple in celebration of Grimace's birthday @mcdonalds @mets  Text CONNECT to 274-16 to get 
1805958648146849795_1805958101155151872.mp4,video,Wed Jun 26 13:37:49 +0000 2024,https://twitter.com/TimesNow/status/1805958648146849795,No Geo-tag,9x1920,1,1,0,2,#WATCH | Girl narrowly avoids lightning strike while filming reel in Bihar's Sitamarhi   #ViralVideo
